District,KDG_District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
CHIKKABALLAPURA,Chikkaballapura,2698.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,2698,0.0,0.0
SHIVAMOGGA,Shivamogga,384974.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,392310,1.905583234192439,7336.0
TUMAKURU,Tumakuru,26042.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,26105,0.24191690346363567,63.0
CHIKKAMAGALURU,Chikkamagaluru,110533.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,111274,0.6703880289144418,741.0
DAKSHINA KANNADA,Dakshina Kannada,132588.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,132588,0.0,0.0
UDUPI,Udupi,138156.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,138156,0.0,0.0
HASSAN,Hassan,143705.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,145837,1.4835948644793153,2132.0
KODAGU,Kodagu,86303.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,86582,0.32327960789312077,279.0
MANDYA,Mandya,246543.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,261753,6.169309207724413,15210.0
MYSURU,Mysuru,354227.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,368867,4.132942999827794,14640.0
CHAMARAJANAGAR,Chamarajanagara,45856.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,46957,2.40099441730635,1101.0
BELAGAVI,Belagavi,177552.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,180280,1.536451293142291,2728.0
VIJAYAPURA,Vijayapura,170.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,176,3.5294117647058822,6.0
BAGALKOT,Bagalkote,85.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,85,0.0,0.0
DHARAWAD,Dharwad,33989.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,34551,1.6534761246285563,562.0
GADAG,Gadag,7258.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,7469,2.9071369523284654,211.0
HAVERI,Haveri,125422.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,125709,0.22882747843281084,287.0
UTTARA KANNADA,Uttara Kannada,152981.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,152981,0.0,0.0
BALLARI,Ballari,206115.5,20,NetAreaIrrigated_Canals_NetAreaIrrigated,217668,5.6048671739874,11552.5
BIDAR,Bidar,2036.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,2036,0.0,0.0
KALABURAGI,Kalaburagi,7888.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,7969,1.0268762677484788,81.0
YADGIRI,Yadgir,224659.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,241694,7.582602967163568,17035.0
RAICHUR,Raichur,492342.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,514323,4.4645794996161206,21981.0
KOPPAL,Koppal,243505.0,20,NetAreaIrrigated_Canals_NetAreaIrrigated,247486,1.634874027227367,3981.0
VIJAYANAGARA,Vijayanagara,206115.5,20,NetAreaIrrigated_Canals_NetAreaIrrigated,217668,5.6048671739874,11552.5
BENGALURU,Bengaluru Urban,3376.0,-20,TotalNPK,3310,-1.9549763033175356,-66.0
BENGALURU(R),Bengaluru Rural,2354.0,-20,TotalNPK,2332,-0.9345794392523363,-22.0
RAMANAGARA,Ramanagara,12128.0,-20,TotalNPK,12095,-0.2720976253298153,-33.0
CHITRADURGA,Chitradurga,4566.0,-20,TotalNPK,4542,-0.5256241787122208,-24.0
DAVANAGERE,Davanagere,489505.0,-20,TotalNPK,486803,-0.5519861901308465,-2702.0
KOLAR,Kolar,864.0,-20,TotalNPK,850,-1.6203703703703702,-14.0
CHIKKABALLAPURA,Chikkaballapura,2698.0,-20,TotalNPK,2671,-1.000741289844329,-27.0
SHIVAMOGGA,Shivamogga,384974.0,-20,TotalNPK,382715,-0.5867928743239803,-2259.0
TUMAKURU,Tumakuru,26042.0,-20,TotalNPK,25905,-0.5260732662621918,-137.0
CHIKKAMAGALURU,Chikkamagaluru,110533.0,-20,TotalNPK,108660,-1.6945165697122127,-1873.0
DAKSHINA KANNADA,Dakshina Kannada,132588.0,-20,TotalNPK,131453,-0.8560352369746884,-1135.0
UDUPI,Udupi,138156.0,-20,TotalNPK,137783,-0.2699846550276499,-373.0
HASSAN,Hassan,143705.0,-20,TotalNPK,142770,-0.6506384607355347,-935.0
KODAGU,Kodagu,86303.0,-20,TotalNPK,84143,-2.5028098675596446,-2160.0
MANDYA,Mandya,246543.0,-20,TotalNPK,244194,-0.9527749723172022,-2349.0
MYSURU,Mysuru,354227.0,-20,TotalNPK,351940,-0.6456311912982353,-2287.0
CHAMARAJANAGAR,Chamarajanagara,45856.0,-20,TotalNPK,45567,-0.6302337752965805,-289.0
BELAGAVI,Belagavi,177552.0,-20,TotalNPK,175657,-1.0672929620618186,-1895.0
VIJAYAPURA,Vijayapura,170.0,-20,TotalNPK,169,-0.5882352941176471,-1.0
BAGALKOT,Bagalkote,85.0,-20,TotalNPK,84,-1.1764705882352942,-1.0
DHARAWAD,Dharwad,33989.0,-20,TotalNPK,33680,-0.9091176557121421,-309.0
GADAG,Gadag,7258.0,-20,TotalNPK,7220,-0.5235602094240838,-38.0
HAVERI,Haveri,125422.0,-20,TotalNPK,124581,-0.6705362695539858,-841.0
UTTARA KANNADA,Uttara Kannada,152981.0,-20,TotalNPK,152150,-0.5432047116962238,-831.0
BALLARI,Ballari,206115.5,-20,TotalNPK,203993,-1.0297624390208402,-2122.5
BIDAR,Bidar,2036.0,-20,TotalNPK,2012,-1.1787819253438114,-24.0
KALABURAGI,Kalaburagi,7888.0,-20,TotalNPK,7839,-0.6211967545638946,-49.0
YADGIRI,Yadgir,224659.0,-20,TotalNPK,220710,-1.7577751169550297,-3949.0
RAICHUR,Raichur,492342.0,-20,TotalNPK,487000,-1.0850181377985222,-5342.0
KOPPAL,Koppal,243505.0,-20,TotalNPK,241711,-0.7367405186751812,-1794.0
VIJAYANAGARA,Vijayanagara,206115.5,-20,TotalNPK,203993,-1.0297624390208402,-2122.5
BENGALURU,Bengaluru Urban,3376.0,-20,AreaUnderCereals_Paddy,2875,-14.84004739336493,-501.0
BENGALURU(R),Bengaluru Rural,2354.0,-20,AreaUnderCereals_Paddy,1882,-20.050977060322854,-472.0
RAMANAGARA,Ramanagara,12128.0,-20,AreaUnderCereals_Paddy,9266,-23.598284960422163,-2862.0
CHITRADURGA,Chitradurga,4566.0,-20,AreaUnderCereals_Paddy,3735,-18.199737187910646,-831.0
DAVANAGERE,Davanagere,489505.0,-20,AreaUnderCereals_Paddy,426568,-12.85727418514622,-62937.0
KOLAR,Kolar,864.0,-20,AreaUnderCereals_Paddy,610,-29.398148148148145,-254.0
CHIKKABALLAPURA,Chikkaballapura,2698.0,-20,AreaUnderCereals_Paddy,1844,-31.653076352853965,-854.0
SHIVAMOGGA,Shivamogga,384974.0,-20,AreaUnderCereals_Paddy,314762,-18.23811478177747,-70212.0
TUMAKURU,Tumakuru,26042.0,-20,AreaUnderCereals_Paddy,19394,-25.52799324168651,-6648.0
CHIKKAMAGALURU,Chikkamagaluru,110533.0,-20,AreaUnderCereals_Paddy,89373,-19.14360417250957,-21160.0
DAKSHINA KANNADA,Dakshina Kannada,132588.0,-20,AreaUnderCereals_Paddy,101402,-23.520982291006728,-31186.0
UDUPI,Udupi,138156.0,-20,AreaUnderCereals_Paddy,106381,-22.99936303888358,-31775.0
HASSAN,Hassan,143705.0,-20,AreaUnderCereals_Paddy,116279,-19.084930934901358,-27426.0
KODAGU,Kodagu,86303.0,-20,AreaUnderCereals_Paddy,68153,-21.030555137133124,-18150.0
MANDYA,Mandya,246543.0,-20,AreaUnderCereals_Paddy,209081,-15.194915288610911,-37462.0
MYSURU,Mysuru,354227.0,-20,AreaUnderCereals_Paddy,294325,-16.910625107628725,-59902.0
CHAMARAJANAGAR,Chamarajanagara,45856.0,-20,AreaUnderCereals_Paddy,36965,-19.388956734124214,-8891.0
BELAGAVI,Belagavi,177552.0,-20,AreaUnderCereals_Paddy,138333,-22.08874020005407,-39219.0
VIJAYAPURA,Vijayapura,170.0,-20,AreaUnderCereals_Paddy,137,-19.411764705882355,-33.0
BAGALKOT,Bagalkote,85.0,-20,AreaUnderCereals_Paddy,64,-24.705882352941178,-21.0
DHARAWAD,Dharwad,33989.0,-20,AreaUnderCereals_Paddy,18674,-45.05869546029598,-15315.0
GADAG,Gadag,7258.0,-20,AreaUnderCereals_Paddy,6165,-15.05924497106641,-1093.0
HAVERI,Haveri,125422.0,-20,AreaUnderCereals_Paddy,96619,-22.964870596864984,-28803.0
UTTARA KANNADA,Uttara Kannada,152981.0,-20,AreaUnderCereals_Paddy,110612,-27.695596185147174,-42369.0
BALLARI,Ballari,206115.5,-20,AreaUnderCereals_Paddy,176118,-14.553733222392298,-29997.5
BIDAR,Bidar,2036.0,-20,AreaUnderCereals_Paddy,1044,-48.722986247544206,-992.0
KALABURAGI,Kalaburagi,7888.0,-20,AreaUnderCereals_Paddy,5198,-34.10243407707911,-2690.0
YADGIRI,Yadgir,224659.0,-20,AreaUnderCereals_Paddy,193044,-14.072438673723287,-31615.0
RAICHUR,Raichur,492342.0,-20,AreaUnderCereals_Paddy,418525,-14.993033297992046,-73817.0
KOPPAL,Koppal,243505.0,-20,AreaUnderCereals_Paddy,210997,-13.350033880207798,-32508.0
VIJAYANAGARA,Vijayanagara,206115.5,-20,AreaUnderCereals_Paddy,176118,-14.553733222392298,-29997.5
BENGALURU,Bengaluru Urban,3376.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,3376,0.0,0.0
BENGALURU(R),Bengaluru Rural,2354.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,2354,0.0,0.0
RAMANAGARA,Ramanagara,12128.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,11977,-1.2450527704485488,-151.0
CHITRADURGA,Chitradurga,4566.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,4560,-0.1314060446780552,-6.0
DAVANAGERE,Davanagere,489505.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,479559,-2.0318485000153217,-9946.0
KOLAR,Kolar,864.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,864,0.0,0.0
CHIKKABALLAPURA,Chikkaballapura,2698.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,2698,0.0,0.0
SHIVAMOGGA,Shivamogga,384974.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,377637,-1.9058429919942645,-7337.0
TUMAKURU,Tumakuru,26042.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,25978,-0.24575685431226482,-64.0
CHIKKAMAGALURU,Chikkamagaluru,110533.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,109791,-0.6712927361059593,-742.0
DAKSHINA KANNADA,Dakshina Kannada,132588.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,132588,0.0,0.0
UDUPI,Udupi,138156.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,138156,0.0,0.0
HASSAN,Hassan,143705.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,141572,-1.4842907344907972,-2133.0
KODAGU,Kodagu,86303.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,86023,-0.32443831616513913,-280.0
MANDYA,Mandya,246543.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,231332,-6.169714816482317,-15211.0
MYSURU,Mysuru,354227.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,339586,-4.133225304677509,-14641.0
CHAMARAJANAGAR,Chamarajanagara,45856.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,44754,-2.403175157013259,-1102.0
BELAGAVI,Belagavi,177552.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,174823,-1.5370145084257005,-2729.0
VIJAYAPURA,Vijayapura,170.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,163,-4.117647058823529,-7.0
BAGALKOT,Bagalkote,85.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,84,-1.1764705882352942,-1.0
DHARAWAD,Dharwad,33989.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,33426,-1.6564182529641942,-563.0
GADAG,Gadag,7258.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,7046,-2.920914852576467,-212.0
HAVERI,Haveri,125422.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,125134,-0.22962478672003314,-288.0
UTTARA KANNADA,Uttara Kannada,152981.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,152981,0.0,0.0
BALLARI,Ballari,206115.5,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,194562,-5.605352338858553,-11553.5
BIDAR,Bidar,2036.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,2036,0.0,0.0
KALABURAGI,Kalaburagi,7888.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,7806,-1.039553752535497,-82.0
YADGIRI,Yadgir,224659.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,207623,-7.583048086210657,-17036.0
RAICHUR,Raichur,492342.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,470360,-4.464782610461834,-21982.0
KOPPAL,Koppal,243505.0,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,239523,-1.6352846964128045,-3982.0
VIJAYANAGARA,Vijayanagara,206115.5,-20,NetAreaIrrigated_Canals_NetAreaIrrigated,194562,-5.605352338858553,-11553.5
