District,KDG_District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
RAMANAGARA,Ramanagara,12128.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,12203,0.6184036939313984,75.0
CHITRADURGA,Chitradurga,4566.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,4568,0.043802014892685065,2.0
DAVANAGERE,Davanagere,489505.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,494477,1.015719962002431,4972.0
KOLAR,Kolar,864.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,864,0.0,0.0
CHIKKABALLAPURA,Chikkaballapura,2698.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,2698,0.0,0.0
SHIVAMOGGA,Shivamogga,384974.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,388642,0.9527916170962195,3668.0
TUMAKURU,Tumakuru,26042.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,26073,0.11903847630750326,31.0
CHIKKAMAGALURU,Chikkamagaluru,110533.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,110903,0.3347416608614622,370.0
DAKSHINA KANNADA,Dakshina Kannada,132588.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,132588,0.0,0.0
UDUPI,Udupi,138156.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,138156,0.0,0.0
HASSAN,Hassan,143705.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,144771,0.7417974322396577,1066.0
KODAGU,Kodagu,86303.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,86442,0.1610604498105512,139.0
MANDYA,Mandya,246543.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,254148,3.0846546038622065,7605.0
MYSURU,Mysuru,354227.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,361547,2.066471499913897,7320.0
CHAMARAJANAGAR,Chamarajanagara,45856.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,46406,1.199406838799721,550.0
BELAGAVI,Belagavi,177552.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,178916,0.7682256465711454,1364.0
VIJAYAPURA,Vijayapura,170.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,173,1.7647058823529411,3.0
BAGALKOT,Bagalkote,85.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,85,0.0,0.0
DHARAWAD,Dharwad,33989.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,34270,0.8267380623142782,281.0
GADAG,Gadag,7258.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,7363,1.4466795260402314,105.0
HAVERI,Haveri,125422.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,125565,0.11401508507279424,143.0
UTTARA KANNADA,Uttara Kannada,152981.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,152981,0.0,0.0
BALLARI,Ballari,206115.5,10,NetAreaIrrigated_Canals_NetAreaIrrigated,211891,2.802069713340336,5775.5
BIDAR,Bidar,2036.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,2036,0.0,0.0
KALABURAGI,Kalaburagi,7888.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,7928,0.5070993914807302,40.0
YADGIRI,Yadgir,224659.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,233176,3.7910789240582394,8517.0
RAICHUR,Raichur,492342.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,503332,2.2321881943852038,10990.0
KOPPAL,Koppal,243505.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,245495,0.8172316790209646,1990.0
VIJAYANAGARA,Vijayanagara,206115.5,10,NetAreaIrrigated_Canals_NetAreaIrrigated,211891,2.802069713340336,5775.5
BENGALURU,Bengaluru Urban,3376.0,-10,TotalNPK,3343,-0.9774881516587678,-33.0
BENGALURU(R),Bengaluru Rural,2354.0,-10,TotalNPK,2343,-0.46728971962616817,-11.0
RAMANAGARA,Ramanagara,12128.0,-10,TotalNPK,12111,-0.14017150395778363,-17.0
CHITRADURGA,Chitradurga,4566.0,-10,TotalNPK,4554,-0.2628120893561104,-12.0
DAVANAGERE,Davanagere,489505.0,-10,TotalNPK,488154,-0.27599309506542324,-1351.0
KOLAR,Kolar,864.0,-10,TotalNPK,857,-0.8101851851851851,-7.0
CHIKKABALLAPURA,Chikkaballapura,2698.0,-10,TotalNPK,2684,-0.5189028910303929,-14.0
SHIVAMOGGA,Shivamogga,384974.0,-10,TotalNPK,383844,-0.29352631606290297,-1130.0
TUMAKURU,Tumakuru,26042.0,-10,TotalNPK,25973,-0.2649566085554105,-69.0
CHIKKAMAGALURU,Chikkamagaluru,110533.0,-10,TotalNPK,109596,-0.8477106384518651,-937.0
DAKSHINA KANNADA,Dakshina Kannada,132588.0,-10,TotalNPK,132020,-0.4283947265212538,-568.0
UDUPI,Udupi,138156.0,-10,TotalNPK,137969,-0.1353542372390631,-187.0
HASSAN,Hassan,143705.0,-10,TotalNPK,143237,-0.3256671653735082,-468.0
KODAGU,Kodagu,86303.0,-10,TotalNPK,85223,-1.2514049337798223,-1080.0
MANDYA,Mandya,246543.0,-10,TotalNPK,245368,-0.4765902905375533,-1175.0
MYSURU,Mysuru,354227.0,-10,TotalNPK,353083,-0.3229567480739751,-1144.0
CHAMARAJANAGAR,Chamarajanagara,45856.0,-10,TotalNPK,45711,-0.3162072575017446,-145.0
BELAGAVI,Belagavi,177552.0,-10,TotalNPK,176604,-0.5339280886726142,-948.0
VIJAYAPURA,Vijayapura,170.0,-10,TotalNPK,169,-0.5882352941176471,-1.0
BAGALKOT,Bagalkote,85.0,-10,TotalNPK,84,-1.1764705882352942,-1.0
DHARAWAD,Dharwad,33989.0,-10,TotalNPK,33834,-0.45602989202389005,-155.0
GADAG,Gadag,7258.0,-10,TotalNPK,7239,-0.2617801047120419,-19.0
HAVERI,Haveri,125422.0,-10,TotalNPK,125001,-0.33566678892060403,-421.0
UTTARA KANNADA,Uttara Kannada,152981.0,-10,TotalNPK,152565,-0.2719291938214549,-416.0
BALLARI,Ballari,206115.5,-10,TotalNPK,205054,-0.5150025107282082,-1061.5
BIDAR,Bidar,2036.0,-10,TotalNPK,2024,-0.5893909626719057,-12.0
KALABURAGI,Kalaburagi,7888.0,-10,TotalNPK,7863,-0.3169371196754564,-25.0
YADGIRI,Yadgir,224659.0,-10,TotalNPK,222684,-0.8791101180010594,-1975.0
RAICHUR,Raichur,492342.0,-10,TotalNPK,489671,-0.5425090688992611,-2671.0
KOPPAL,Koppal,243505.0,-10,TotalNPK,242608,-0.3683702593375906,-897.0
VIJAYANAGARA,Vijayanagara,206115.5,-10,TotalNPK,205054,-0.5150025107282082,-1061.5
BENGALURU,Bengaluru Urban,3376.0,-10,AreaUnderCereals_Paddy,3125,-7.434834123222749,-251.0
