District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
CHIKKAMAGALURU,3909.0,20,LivestockCensus_2012_Sheep,4381,12.074699411614223,472.0
DAKSHINA KANNADA,0.0,20,LivestockCensus_2012_Sheep,0,,0.0
UDUPI,3623.0,20,LivestockCensus_2012_Sheep,3623,0.0,0.0
HASSAN,521.0,20,LivestockCensus_2012_Sheep,563,8.061420345489443,42.0
KODAGU,45.0,20,LivestockCensus_2012_Sheep,45,0.0,0.0
MANDYA,1021.0,20,LivestockCensus_2012_Sheep,1311,28.40352595494613,290.0
MYSURU,2170.0,20,LivestockCensus_2012_Sheep,2431,12.027649769585254,261.0
CHAMARAJANAGAR,8867.0,20,LivestockCensus_2012_Sheep,10460,17.96549001917221,1593.0
BELAGAVI,39530.0,20,LivestockCensus_2012_Sheep,42739,8.117885150518592,3209.0
VIJAYAPURA,27528.0,20,LivestockCensus_2012_Sheep,29127,5.808631211857018,1599.0
BAGALKOT,25444.0,20,LivestockCensus_2012_Sheep,29881,17.438295865429964,4437.0
DHARAWAD,21178.0,20,LivestockCensus_2012_Sheep,21837,3.1117197091321183,659.0
GADAG,31332.0,20,LivestockCensus_2012_Sheep,34446,9.938720796629644,3114.0
HAVERI,18309.0,20,LivestockCensus_2012_Sheep,19143,4.555136817958381,834.0
UTTARA KANNADA,3825.0,20,LivestockCensus_2012_Sheep,3836,0.2875816993464052,11.0
BALLARI,22938.5,20,LivestockCensus_2012_Sheep,27706,20.783835037164593,4767.5
BIDAR,261.0,20,LivestockCensus_2012_Sheep,278,6.513409961685824,17.0
KALABURAGI,3114.0,20,LivestockCensus_2012_Sheep,3172,1.8625561978163132,58.0
YADGIRI,31435.0,20,LivestockCensus_2012_Sheep,36047,14.671544456815653,4612.0
RAICHUR,26958.0,20,LivestockCensus_2012_Sheep,29617,9.863491356925588,2659.0
KOPPAL,29982.0,20,LivestockCensus_2012_Sheep,32686,9.018744580081382,2704.0
VIJAYANAGARA,22938.5,20,LivestockCensus_2012_Sheep,27706,20.783835037164593,4767.5
BENGALURU,71.0,-20,TotalNPK,17,-76.05633802816901,-54.0
BENGALURU(R),206.0,-20,TotalNPK,133,-35.43689320388349,-73.0
RAMANAGARA,4830.0,-20,TotalNPK,4320,-10.559006211180124,-510.0
CHITRADURGA,68575.0,-20,TotalNPK,54934,-19.89208895370033,-13641.0
DAVANAGERE,16592.0,-20,TotalNPK,13026,-21.49228543876567,-3566.0
KOLAR,5810.0,-20,TotalNPK,2191,-62.28915662650603,-3619.0
CHIKKABALLAPURA,7132.0,-20,TotalNPK,4382,-38.55860908581043,-2750.0
SHIVAMOGGA,248.0,-20,TotalNPK,191,-22.983870967741936,-57.0
TUMAKURU,39626.0,-20,TotalNPK,31550,-20.38055821935093,-8076.0
CHIKKAMAGALURU,3909.0,-20,TotalNPK,2702,-30.877462266564336,-1207.0
DAKSHINA KANNADA,0.0,-20,TotalNPK,0,,0.0
UDUPI,3623.0,-20,TotalNPK,3445,-4.913055478884902,-178.0
HASSAN,521.0,-20,TotalNPK,459,-11.900191938579654,-62.0
KODAGU,45.0,-20,TotalNPK,24,-46.666666666666664,-21.0
MANDYA,1021.0,-20,TotalNPK,843,-17.43388834476004,-178.0
MYSURU,2170.0,-20,TotalNPK,1914,-11.797235023041475,-256.0
CHAMARAJANAGAR,8867.0,-20,TotalNPK,7851,-11.458215856546747,-1016.0
BELAGAVI,39530.0,-20,TotalNPK,33386,-15.542625853781939,-6144.0
VIJAYAPURA,27528.0,-20,TotalNPK,25175,-8.547660563789595,-2353.0
BAGALKOT,25444.0,-20,TotalNPK,21139,-16.919509511083163,-4305.0
DHARAWAD,21178.0,-20,TotalNPK,18381,-13.207101709320993,-2797.0
GADAG,31332.0,-20,TotalNPK,28983,-7.497127537342014,-2349.0
