District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
DAKSHINA KANNADA,0,-20,AreaUnderCereals_Maize,0,,0
UDUPI,109,-20,AreaUnderCereals_Maize,102,-6.422018348623854,-7
HASSAN,333937,-20,AreaUnderCereals_Maize,269073,-19.424023094176444,-64864
KODAGU,17921,-20,AreaUnderCereals_Maize,15092,-15.785949444785446,-2829
MANDYA,19387,-20,AreaUnderCereals_Maize,15373,-20.704595863207302,-4014
MYSURU,137154,-20,AreaUnderCereals_Maize,106564,-22.303396182393513,-30590
CHAMARAJANAGAR,147886,-20,AreaUnderCereals_Maize,116241,-21.398239184236505,-31645
BELAGAVI,576758,-20,AreaUnderCereals_Maize,504034,-12.609101217495034,-72724
VIJAYAPURA,226327,-20,AreaUnderCereals_Maize,204034,-9.849907434817764,-22293
BAGALKOT,251699,-20,AreaUnderCereals_Maize,227136,-9.75887866062241,-24563
DHARAWAD,90634,-20,AreaUnderCereals_Maize,73501,-18.90350199704305,-17133
GADAG,138476,-20,AreaUnderCereals_Maize,119534,-13.678904647736791,-18942
HAVERI,413487,-20,AreaUnderCereals_Maize,318844,-22.8889904640291,-94643
UTTARA KANNADA,24088,-20,AreaUnderCereals_Maize,21550,-10.536366655596147,-2538
BALLARI,104045,-20,AreaUnderCereals_Maize,77467,-25.544716228554954,-26578
BIDAR,2791,-20,AreaUnderCereals_Maize,2054,-26.40630598351845,-737
KALABURAGI,14621,-20,AreaUnderCereals_Maize,13217,-9.602626359346147,-1404
YADGIRI,2673,-20,AreaUnderCereals_Maize,2160,-19.19191919191919,-513
RAICHUR,723,-20,AreaUnderCereals_Maize,-662,-191.56293222683266,-1385
KOPPAL,190252,-20,AreaUnderCereals_Maize,164559,-13.504720055505329,-25693
VIJAYANAGARA,104045,-20,AreaUnderCereals_Maize,77467,-25.544716228554954,-26578
BENGALURU,2879,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,2385,-17.15873567210837,-494
BENGALURU(R),42583,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,33600,-21.095272761430618,-8983
RAMANAGARA,10450,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,8455,-19.090909090909093,-1995
CHITRADURGA,271975,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,193009,-29.034286239544077,-78966
DAVANAGERE,593544,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,536751,-9.568456592940034,-56793
KOLAR,1759,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,1195,-32.0636725412166,-564
CHIKKABALLAPURA,105491,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,64583,-38.7786635826753,-40908
SHIVAMOGGA,226532,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,209790,-7.3905673370649625,-16742
TUMAKURU,66868,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,37598,-43.772806125500985,-29270
CHIKKAMAGALURU,61353,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,52288,-14.775153619219925,-9065
DAKSHINA KANNADA,0,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,0,,0
UDUPI,109,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,108,-0.9174311926605505,-1
HASSAN,333937,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,317152,-5.026397194680434,-16785
KODAGU,17921,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,17894,-0.15066123542213047,-27
MANDYA,19387,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,18282,-5.699695672357766,-1105
MYSURU,137154,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,130750,-4.669203960511542,-6404
CHAMARAJANAGAR,147886,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,108994,-26.298635435402947,-38892
BELAGAVI,576758,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,487432,-15.487604853335368,-89326
VIJAYAPURA,226327,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,174343,-22.968536674811226,-51984
BAGALKOT,251699,-20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,175957,-30.092292778278818,-75742
