District,KDG_District,Original Rice Production,Original Maize Production,Initial Stress,Initial Stability,New Rice Production,New Maize Production,Rice Impact,Maize Impact,Stability,Stress,Perturbation,Factor
BENGALURU,Bengaluru Urban,71.0,2879,0.05222813228440337,0.9477718677155966,75,3135,5.633802816901409,8.891976380687739,0.9612679613940367,0.0387320386059633,10,TotalNPK
BENGALURU(R),Bengaluru Rural,206.0,42583,0.19957797675979674,0.8004220232402033,212,44359,2.912621359223301,4.170678439752954,0.9874287794947294,0.012571220505270604,10,TotalNPK
RAMANAGARA,Ramanagara,4830.0,10450,0.12313332642127031,0.8768666735787297,4873,10580,0.8902691511387164,1.244019138755981,0.9099293574297214,0.09007064257027868,10,TotalNPK
CHITRADURGA,Chitradurga,68575.0,271975,0.9154990406581235,0.08450095934187651,69748,278354,1.7105359095880421,2.3454361614118944,0.795242022476653,0.20475797752334696,10,TotalNPK
DAVANAGERE,Davanagere,16592.0,593544,0.8738518123733005,0.12614818762669955,16898,608583,1.8442622950819672,2.533763293033035,0.10887486195581264,0.8911251380441874,10,TotalNPK
KOLAR,Kolar,5810.0,1759,0.14781802836001584,0.8521819716399841,6121,1888,5.352839931153184,7.333712336554861,0.8470327242198171,0.15296727578018288,10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,7132.0,105491,0.199618200613357,0.800381799386643,7368,110287,3.3090297251822767,4.54635940506773,0.853663831052029,0.146336168947971,10,TotalNPK
SHIVAMOGGA,Shivamogga,248.0,226532,0.1561227243994937,0.8438772756005063,252,232633,1.6129032258064515,2.693217735242703,0.9894606053746291,0.010539394625370875,10,TotalNPK
TUMAKURU,Tumakuru,39626.0,66868,0.5220082780405303,0.4779917219594697,40320,68474,1.7513753596123758,2.4017467248908297,0.8753476823388783,0.12465231766112168,10,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,3909.0,61353,0.42135969361440334,0.5786403063855967,4130,66125,5.653619851624456,7.7779407689925515,0.6724272059252792,0.3275727940747209,10,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,0.0,0,0.2151214487551677,0.7848785512448323,0,0,,,0.7751934232109507,0.22480657678904925,10,TotalNPK
UDUPI,Udupi,3623.0,109,0.15792179097035264,0.8420782090296474,3655,110,0.883245928788297,0.9174311926605505,0.8351727549823359,0.16482724501766413,10,TotalNPK
HASSAN,Hassan,521.0,333937,0.6288742712797063,0.3711257287202937,532,343907,2.111324376199616,2.985593090912358,0.36363970344580765,0.6363602965541924,10,TotalNPK
KODAGU,Kodagu,45.0,17921,0.29203334046087925,0.7079666595391207,48,19980,6.666666666666667,11.489314212376541,0.6986514050582903,0.30134859494170974,10,TotalNPK
MANDYA,Mandya,1021.0,19387,0.31315939641082446,0.6868406035891755,1053,20234,3.1341821743388834,4.368906999535771,0.7395530733910329,0.260446926608967,10,TotalNPK
MYSURU,Mysuru,2170.0,137154,0.0,1.0,2216,141217,2.1198156682027647,2.9623634746343526,1.0,0.0,10,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,8867.0,147886,0.2192791827846429,0.7807208172153571,9053,152151,2.0976655012969436,2.8839781994238805,0.8032570722744674,0.19674292772553253,10,TotalNPK
BELAGAVI,Belagavi,39530.0,576758,1.0,0.0,40942,605012,3.5719706551985837,4.898761699014145,0.0,1.0,10,TotalNPK
VIJAYAPURA,Vijayapura,27528.0,226327,0.11571295413545596,0.884287045864544,28068,232423,1.9616390584132521,2.693447975716552,0.8935770731297414,0.10642292687025852,10,TotalNPK
BAGALKOT,Bagalkote,25444.0,251699,0.10363008914481703,0.896369910855183,26433,265121,3.886967457946864,5.33255992276489,0.9482007437672721,0.051799256232727894,10,TotalNPK
DHARAWAD,Dharwad,21178.0,90634,0.423733485306093,0.576266514693907,21821,94406,3.036169609972613,4.161793587395459,0.5569299300808239,0.44307006991917613,10,TotalNPK
GADAG,Gadag,31332.0,138476,0.24678547519488023,0.7532145248051197,31872,141747,1.7234775947912677,2.3621421762615906,0.7556441719056733,0.24435582809432663,10,TotalNPK
HAVERI,Haveri,18309.0,413487,0.49580995692661767,0.5041900430733823,18719,426202,2.2393358457589163,3.0750664470708875,0.48388033804943487,0.5161196619505651,10,TotalNPK
UTTARA KANNADA,Uttara Kannada,3825.0,24088,0.565165684325954,0.43483431567404596,3894,24688,1.803921568627451,2.4908668216539356,0.4621591801502667,0.5378408198497333,10,TotalNPK
BALLARI,Ballari,22938.5,104045,0.3286057076064117,0.6713942923935883,23729,108962,3.4461712840857075,4.7258397808640495,0.6961312315724257,0.3038687684275742,10,TotalNPK
BIDAR,Bidar,261.0,2791,0.042514974740847186,0.9574850252591528,270,2936,3.4482758620689653,5.19527051236116,0.9881736845401011,0.011826315459898897,10,TotalNPK
KALABURAGI,Kalaburagi,3114.0,14621,0.33139030033229383,0.6686096996677062,3178,15036,2.0552344251766215,2.838383147527529,0.8667193514274514,0.13328064857254865,10,TotalNPK
YADGIRI,Yadgir,31435.0,2673,0.2745340527415435,0.7254659472584565,33285,2888,5.885159853666296,8.043396932285821,0.8346644573750684,0.16533554262493155,10,TotalNPK
RAICHUR,Raichur,26958.0,723,0.3255497948401177,0.6744502051598823,27937,759,3.631575042658951,4.979253112033195,0.6567139722626965,0.3432860277373036,10,TotalNPK
KOPPAL,Koppal,29982.0,190252,0.1569925712713358,0.8430074287286642,30721,196686,2.464812220665733,3.3818304143977462,0.8555078847269597,0.14449211527304026,10,TotalNPK
