District,KDG_District,Original Rice Production,Original Maize Production,Initial Stress,Initial Stability,New Rice Production,New Maize Production,Rice Impact,Maize Impact,Stability,Stress,Perturbation,Factor
CHITRADURGA,Chitradurga,68575.0,271975,0.7058700845529036,0.29412991544709643,67401,265595,-1.7119941669704704,-2.3458038422649143,0.2905150138866992,0.7094849861133008,-10,TotalNPK
DAVANAGERE,Davanagere,16592.0,593544,0.6743961217727216,0.32560387822727843,16285,578504,-1.8502892960462873,-2.533931772539188,0.32308522442176113,0.6769147755782389,-10,TotalNPK
KOLAR,Kolar,5810.0,1759,0.12571230207381984,0.8742876979261802,5498,1629,-5.370051635111876,-7.390562819783968,0.8770613777563201,0.12293862224367991,-10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,7132.0,105491,0.16485912553968798,0.835140874460312,6895,100694,-3.323051037577117,-4.547307353233925,0.8370085506697598,0.1629914493302403,-10,TotalNPK
SHIVAMOGGA,Shivamogga,248.0,226532,0.1319883906591076,0.8680116093408924,243,220430,-2.0161290322580645,-2.6936591739798352,0.8686061921127086,0.13139380788729133,-10,TotalNPK
TUMAKURU,Tumakuru,39626.0,66868,0.40849822748061015,0.5915017725193898,38931,65261,-1.7538989552314137,-2.403242208530239,0.5916456328829649,0.40835436711703504,-10,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,3909.0,61353,0.33243530731599663,0.6675646926840033,3687,56580,-5.6792018419033,-7.779570681140287,0.6620703847688365,0.33792961523116344,-10,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,0.0,0,0.1765753591303179,0.8234246408696821,0,0,,,0.826204895273594,0.17379510472640602,-10,TotalNPK
UDUPI,Udupi,3623.0,109,0.13334799504629605,0.866652004953704,3590,107,-0.9108473640629312,-1.834862385321101,0.8679830472619067,0.1320169527380933,-10,TotalNPK
HASSAN,Hassan,521.0,333937,0.4892598155189365,0.5107401844810635,509,323966,-2.3032629558541267,-2.9858925485944954,0.5117863455430357,0.4882136544569643,-10,TotalNPK
KODAGU,Kodagu,45.0,17921,0.23469980381950048,0.7653001961804995,41,15861,-8.88888888888889,-11.494894258132916,0.7637360719412851,0.23626392805871488,-10,TotalNPK
MANDYA,Mandya,1021.0,19387,0.25066534885201175,0.7493346511479883,988,18539,-3.232125367286973,-4.3740650951668645,0.7494142709823586,0.2505857290176415,-10,TotalNPK
MYSURU,Mysuru,2170.0,137154,0.014002127965103637,0.9859978720348964,2123,133090,-2.165898617511521,-2.9630925820610408,0.9853958973090629,0.014604102690937114,-10,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,8867.0,147886,0.17971747377954864,0.8202825262204514,8680,143620,-2.108943272809293,-2.88465439595364,0.8209486693673833,0.17905133063261663,-10,TotalNPK
BELAGAVI,Belagavi,39530.0,576758,0.7697297976417838,0.23027020235821616,38117,548503,-3.5745003794586387,-4.898935081958117,0.25242230358051176,0.7475776964194882,-10,TotalNPK
VIJAYAPURA,Vijayapura,27528.0,226327,0.10144960914529635,0.8985503908547037,26987,220230,-1.9652717233362396,-2.6938898142952454,0.8895013636929034,0.11049863630709653,-10,TotalNPK
BAGALKOT,Bagalkote,25444.0,251699,0.09231825374290285,0.9076817462570972,24454,238276,-3.8908976576010064,-5.332957222714433,0.9073039626890488,0.09269603731095126,-10,TotalNPK
DHARAWAD,Dharwad,21178.0,90634,0.33422924737945514,0.6657707526205449,20534,86861,-3.040891491170082,-4.162896926098374,0.6698592189339047,0.33014078106609535,-10,TotalNPK
GADAG,Gadag,31332.0,138476,0.20050474004418264,0.7994952599558174,30791,135204,-1.726669219966807,-2.3628643230595916,0.8043068123489303,0.19569318765106972,-10,TotalNPK
HAVERI,Haveri,18309.0,413487,0.38869943131575163,0.6113005686842483,17898,400771,-2.24479764050467,-3.075308292642816,0.6136015573238971,0.38639844267610296,-10,TotalNPK
UTTARA KANNADA,Uttara Kannada,3825.0,24088,0.4411134735619832,0.5588865264380167,3755,23487,-1.8300653594771243,-2.495018266356692,0.5657866183519535,0.4342133816480465,-10,TotalNPK
BALLARI,Ballari,22938.5,104045,0.26233855361695374,0.7376614463830462,22147,99127,-3.4505307670510277,-4.726800903455235,0.7339125545898243,0.2660874454101757,-10,TotalNPK
BIDAR,Bidar,261.0,2791,0.04613187075236701,0.953868129247633,251,2645,-3.8314176245210727,-5.231099964170548,0.9539282007806984,0.04607179921930163,-10,TotalNPK
KALABURAGI,Kalaburagi,3114.0,14621,0.26444294738868324,0.7355570526113168,3049,14205,-2.0873474630700066,-2.8452226249914507,0.7417842410532167,0.25821575894678334,-10,TotalNPK
YADGIRI,Yadgir,31435.0,2673,0.22147510789036517,0.7785248921096348,29584,2457,-5.888341021154764,-8.080808080808081,0.7915896544021853,0.20841034559781466,-10,TotalNPK
RAICHUR,Raichur,26958.0,723,0.26002911578334714,0.7399708842166528,25978,686,-3.6352845166555383,-5.117565698478561,0.7438932735017488,0.25610672649825117,-10,TotalNPK
KOPPAL,Koppal,29982.0,190252,0.1326457580085404,0.8673542419914596,29242,183817,-2.4681475551997867,-3.3823560330509013,0.8653373992486006,0.1346626007513993,-10,TotalNPK
