District,KDG_District,Crop,Original Production,New Production,Impact,Stability,Stress,Perturbation,Factor
BAGALKOT,Bagalkote,Maize,251699.0,265084,5.317859824631802,0.6230438466945578,0.37695615330544213,10,TotalNPK
DHARAWAD,Dharwad,Maize,90634.0,94396,4.150760200366308,0.6245143819802845,0.37548561801971553,10,TotalNPK
GADAG,Gadag,Maize,138476.0,141738,2.3556428550795805,0.6667664963295701,0.33323350367043,10,TotalNPK
HAVERI,Haveri,Maize,413487.0,426166,3.0663600064814616,0.5722385362901468,0.42776146370985324,10,TotalNPK
UTTARA KANNADA,Uttara Kannada,Maize,24088.0,24686,2.4825639322484223,0.5923318272287232,0.40766817277127676,10,TotalNPK
BALLARI,Ballari,Maize,104045.0,108948,4.712384064587438,0.7628376945001721,0.2371623054998279,10,TotalNPK
BIDAR,Bidar,Maize,2791.0,2936,5.19527051236116,0.9768543494665243,0.023145650533475753,10,TotalNPK
KALABURAGI,Kalaburagi,Maize,14621.0,15035,2.831543670063607,0.8260043725286744,0.1739956274713256,10,TotalNPK
YADGIRI,Yadgir,Maize,2673.0,2888,8.043396932285821,0.8228137811320564,0.17718621886794364,10,TotalNPK
RAICHUR,Raichur,Maize,723.0,758,4.840940525587829,0.2276061317820225,0.7723938682179775,10,TotalNPK
KOPPAL,Koppal,Maize,190252.0,196668,3.3723692786409605,0.8295547361543909,0.17044526384560915,10,TotalNPK
VIJAYANAGARA,Vijayanagara,Maize,104045.0,108948,4.712384064587438,0.6919697453633757,0.30803025463662426,10,TotalNPK
BENGALURU,Bengaluru Urban,Rice,3376.0,3343,-0.9774881516587678,0.959558803446218,0.04044119655378201,-10,TotalNPK
BENGALURU(R),Bengaluru Rural,Rice,2354.0,2343,-0.46728971962616817,0.9841704468610378,0.01582955313896218,-10,TotalNPK
RAMANAGARA,Ramanagara,Rice,12128.0,12111,-0.14017150395778363,0.8687863865741497,0.13121361342585025,-10,TotalNPK
CHITRADURGA,Chitradurga,Rice,4566.0,4554,-0.2628120893561104,0.5611114648059718,0.4388885351940282,-10,TotalNPK
DAVANAGERE,Davanagere,Rice,489505.0,488154,-0.27599309506542324,0.06893786962914483,0.9310621303708552,-10,TotalNPK
