AreaUnderOilSeeds_GroundNut,MotorVehicles_Tractors,LivestockCensus_2012_Sheep,TotalNPK
72,6.785922757990126,35.83586562632551,10.806111455714568
175,0.7481341625943645,95.22886124684841,14.687375981044715
3307,156.80461399224734,2102.339270162736,102.71272690015536
96711,1423.8611990518027,72011.81652952378,2748.9016660448106
15279,233.17148029972364,2474.543781621627,718.5001386333198
8608,553.920187793427,14627.699530516424,729.2488262910794
19535,223.00202770835995,8455.960947433001,554.173034766976
438,3.6182166082654748,7.419754040170284,11.416511007039755
64771,1131.9910296521027,45278.36132888619,1627.466412872858
5851,121.61711105495377,699.225641899631,519.6638967083697
0,0.0,0.0,0.0
1819,53.93123230850155,0.872270393159683,76.6102625306533
862,8.970447746502023,62.4232989539941,26.584241035073404
63,1.4749888503641904,0.3023349494309043,8.836337740433432
1361,14.601823937013464,430.6259189100733,76.30142842157747
2387,35.637706378492254,386.96290556093464,109.88647192501088
12179,67.66501619409716,2359.2413231115834,437.07744381766474
37419,853.9598411209126,14506.560516249956,3309.6322234838144
24779,580.0556880004887,7228.271206471459,1267.386270554434
26333,659.4367663541944,20058.99621832886,2319.0343337907675
36152,575.9861415344797,2981.7792123017193,1506.6082119306125
41174,1518.3276155721983,14077.244589517939,1265.0918715290184
17789,232.26768639664556,3770.5824006830335,962.2454992650323
1950,49.317519049697225,50.859356104937866,162.86052646941843
49762,721.1605418001649,22723.723300996237,1852.8396412581253
299,4.970978203757666,83.60814596053753,23.32084865834409
3817,45.79527090228782,280.2471164915798,151.23838501942632
38840,469.698762637694,21985.146627433216,4335.013150746941
35960,501.35590148435546,12675.796995560397,2294.8797091409656
22274,384.4794720577912,12890.465432579967,1733.114796150926
49762,721.1605418001649,22723.723300996237,1852.8396412581253
