AreaUnderCereals_Paddy,TotalNPK,NetAreaIrrigated_Canals_NetAreaIrrigated
782.0,513.822989781592,0.0
736.0,167.83535465718933,0.0
4468.0,257.90889272154925,272.509463067001
1297.0,183.03295672126296,9.283245491937873
98259.0,21197.529554104796,18037.38642931829
395.0,108.44595282538515,0.0
1333.0,209.64089284931288,0.0
109617.0,17722.015759774844,13305.677786605493
10379.0,1069.562416696991,114.92440877741862
33036.0,14694.297645143655,1344.6441857321677
48689.0,8898.49778669998,0.0
49608.0,2921.382122601437,0.0
42818.0,7332.607212948023,3867.912533293168
28336.0,16946.7212447309,507.4042114450407
58487.0,18424.66510023632,27586.796690257732
93521.0,17937.675249115855,26552.468391703296
13881.0,2260.361256761346,1997.9834828491669
61230.0,14865.464724108302,4947.776905039558
51.0,7.82678240316186,12.61770618959239
32.0,7.747127746117581,0.18506438727578903
23909.0,2417.9859531263355,1020.6629130943647
1706.0,293.0561982496364,384.4096703586403
44968.0,6591.662843892047,520.6319447476465
66147.0,6513.61207838384,0.0
46832.5,16648.82050167798,20953.14180239397
1548.0,181.92048991719773,0.0
4199.0,383.09838825730117,148.02060728162246
49358.0,30981.381244907192,30897.307860268593
115246.0,41912.07306765653,39866.07320271689
50753.0,14075.849457565631,7221.642581176537
46832.5,16648.82050167798,20953.14180239397
