SowingSeedsDistributed_Maize,LivestockCensus_2012_Cattle,AreaUnderCereals_Maize,TotalNPK,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea
4.45,2567.4615781397915,1129.0,438.18020959159,175.72323463158227
134.73,25037.139271434902,14867.0,3036.080249518731,3197.193184510586
260.15,7729.6142768509,1987.0,222.2252579930893,709.8598043066187
5004.0,83821.5930925161,92194.0,10902.40657123643,28105.50725333845
6124.6,85657.63209061667,173400.0,25702.835480049405,20213.730877509854
51.5,2278.829820691199,640.0,220.78290627297764,200.3861078115264
3538.15,71206.94530941734,59377.0,8196.896748542242,14559.991861765093
3814.02,104722.00036268622,43827.0,10428.246255833676,5958.813645135083
1639.85,37944.09375585408,24207.0,2746.313634885738,10417.677295717873
2923.79,40572.44563026344,25831.0,8156.290369595493,3145.7899611539783
0.0,0.0,0.0,0.0,0.0
0.0,94.49900772835473,8.0,2.304862990847373,0.2620525749190491
8925.33,151008.14025035864,79058.0,17039.273893533446,5824.841580444943
246.41,7599.582730293919,3448.0,3519.022414363608,9.109736389052737
794.03,8774.134623334778,4892.0,1448.8303553468602,383.3928868924574
1573.43,61547.7274444302,37283.0,6945.331414932335,2222.2283022396136
2054.6,80396.92668339919,38569.0,7289.68477009352,13496.467160358838
11883.58,159047.08619222807,131163.0,48288.81512653903,37481.29796712362
2682.76,48619.50707986088,40207.0,10420.071652709004,21812.245217549287
5678.15,75578.05199878349,44300.0,22940.52125376528,31781.380297053
2471.35,33424.64560047958,30900.0,6447.725407503971,3590.483188855372
4111.0,34261.98176791555,34163.0,5591.244159385049,10006.597794528294
11325.6,95150.64026866147,170696.0,21731.17072230065,21067.544410647493
1469.2,22563.771075595512,4576.0,1025.6168265608787,566.5133424330787
2859.005,23446.847903114674,49869.5,8404.154607960514,10248.613354675945
24.55,2371.831677930168,1382.0,249.38118239631788,201.3415759244828
165.0,6221.617909951043,2634.0,710.1016144409234,641.7596434738781
0.0,1253.3171435038448,961.0,368.61746944318605,88.878157537347
14.35,188.5374792507721,2600.0,61.54751946392963,13.94958109503198
5292.0,38936.40017227124,48210.0,10997.55040348566,12343.237177895206
2859.005,23446.847903114674,49869.5,8404.154607960514,10248.613354675945
