District,KDG_District,Original Rice Production,Original Maize Production,Initial Stress,Initial Stability,New Rice Production,New Maize Production,Rice Impact,Maize Impact,Stability,Stress,Perturbation,Factor
DAVANAGERE,Davanagere,16592.0,593544,0.8738518123733005,0.12614818762669955,16286,578521,-1.8442622950819672,-2.5310676209345897,0.04938168416638833,0.9506183158336117,-10,TotalNPK
KOLAR,Kolar,5810.0,1759,0.14781802836001584,0.8521819716399841,5499,1629,-5.352839931153184,-7.390562819783968,0.8463061534201782,0.1536938465798218,-10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,7132.0,105491,0.199618200613357,0.800381799386643,6896,100700,-3.3090297251822767,-4.54161966423676,0.8559515326955477,0.1440484673044523,-10,TotalNPK
SHIVAMOGGA,Shivamogga,248.0,226532,0.1561227243994937,0.8438772756005063,243,220436,-2.0161290322580645,-2.6910105415570427,0.9883694397790113,0.01163056022098877,-10,TotalNPK
TUMAKURU,Tumakuru,39626.0,66868,0.5220082780405303,0.4779917219594697,38933,65262,-1.7488517639933376,-2.4017467248908297,0.8741930553692638,0.1258069446307361,-10,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,3909.0,61353,0.42135969361440334,0.5786403063855967,3687,56585,-5.6792018419033,-7.77142112040161,0.6399111056039604,0.36008889439603964,-10,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,0.0,0,0.2151214487551677,0.7848785512448323,0,0,,,0.7713913923477482,0.22860860765225174,-10,TotalNPK
UDUPI,Udupi,3623.0,109,0.15792179097035264,0.8420782090296474,3590,107,-0.9108473640629312,-1.834862385321101,0.831607344149775,0.16839265585022503,-10,TotalNPK
HASSAN,Hassan,521.0,333937,0.6288742712797063,0.3711257287202937,509,323978,-2.3032629558541267,-2.9822990564088436,0.3301650794687302,0.6698349205312698,-10,TotalNPK
KODAGU,Kodagu,45.0,17921,0.29203334046087925,0.7079666595391207,41,15864,-8.88888888888889,-11.478154120863792,0.6781406152664398,0.3218593847335603,-10,TotalNPK
MANDYA,Mandya,1021.0,19387,0.31315939641082446,0.6868406035891755,988,18540,-3.232125367286973,-4.368906999535771,0.7264625330471743,0.2735374669528256,-10,TotalNPK
MYSURU,Mysuru,2170.0,137154,0.0,1.0,2123,133094,-2.165898617511521,-2.960176152354288,1.0,0.0,-10,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,8867.0,147886,0.2192791827846429,0.7807208172153571,8680,143625,-2.108943272809293,-2.881273413304843,0.7946364916062802,0.20536350839371978,-10,TotalNPK
BELAGAVI,Belagavi,39530.0,576758,1.0,0.0,38121,548534,-3.5643814824184163,-4.893560210694954,0.0,1.0,-10,TotalNPK
VIJAYAPURA,Vijayapura,27528.0,226327,0.11571295413545596,0.884287045864544,26988,220236,-1.9616390584132521,-2.6912387828230835,0.8704973492010007,0.12950265079899928,-10,TotalNPK
BAGALKOT,Bagalkote,25444.0,251699,0.10363008914481703,0.896369910855183,24456,238290,-3.8830372582927217,-5.327395023420832,0.9655878409737612,0.0344121590262388,-10,TotalNPK
DHARAWAD,Dharwad,21178.0,90634,0.423733485306093,0.576266514693907,20536,86865,-3.0314477287751442,-4.158483571286713,0.5441579694466552,0.4558420305533449,-10,TotalNPK
GADAG,Gadag,31332.0,138476,0.24678547519488023,0.7532145248051197,30793,135208,-1.7202859696157282,-2.3599757358675872,0.7652481528063287,0.23475184719367123,-10,TotalNPK
HAVERI,Haveri,18309.0,413487,0.49580995692661767,0.5041900430733823,17899,400785,-2.2393358457589163,-3.071922454635817,0.4615076527569738,0.5384923472430262,-10,TotalNPK
UTTARA KANNADA,Uttara Kannada,3825.0,24088,0.565165684325954,0.43483431567404596,3755,23488,-1.8300653594771243,-2.4908668216539356,0.4491670028475415,0.5508329971524585,-10,TotalNPK
