District,KDG_District,Original Groundnut Production Value,Perturbation,Factor,New Groundnut Production Values,Percentage Change,Change,Initial Stress,Initial Stability,Stress,Stability
RAICHUR,Raichur,26958.0,10,TotalNPK,27934,3.620446620669189,976.0,0.007400656215822088,0.9925993437841779,0.00732382249623631,0.9926761775037637
KOPPAL,Koppal,29982.0,10,TotalNPK,30719,2.4581415515976253,737.0,0.0592023332118119,0.9407976667881881,0.057082228116710876,0.9429177718832891
VIJAYANAGARA,Vijayanagara,22938.5,10,TotalNPK,23727,3.4374523181550667,788.5,0.12175841536031112,0.8782415846396889,0.1178435730159868,0.8821564269840132
BENGALURU,Bengaluru Urban,71.0,10,AreaUnderOilSeeds_GroundNut,73,2.8169014084507045,2.0,0.03568355814801312,0.9643164418519868,0.03497425681457892,0.9650257431854211
BENGALURU(R),Bengaluru Rural,206.0,10,AreaUnderOilSeeds_GroundNut,210,1.9417475728155338,4.0,0.16460517681370762,0.8353948231862924,0.16585345323438225,0.8341465467656177
RAMANAGARA,Ramanagara,4830.0,10,AreaUnderOilSeeds_GroundNut,4922,1.9047619047619049,92.0,0.07478235508567264,0.9252176449143273,0.07681429834037122,0.9231857016596288
CHITRADURGA,Chitradurga,68575.0,10,AreaUnderOilSeeds_GroundNut,71281,3.9460444768501644,2706.0,0.6908377688662048,0.30916223113379515,0.6880206506642723,0.3119793493357277
DAVANAGERE,Davanagere,16592.0,10,AreaUnderOilSeeds_GroundNut,17019,2.5735294117647056,427.0,0.09081540891967432,0.9091845910803257,0.09578756377342257,0.9042124362265774
KOLAR,Kolar,5810.0,10,AreaUnderOilSeeds_GroundNut,6050,4.130808950086059,240.0,0.031221290557783443,0.9687787094422166,0.02954504005274898,0.9704549599472511
CHIKKABALLAPURA,Chikkaballapura,7132.0,10,AreaUnderOilSeeds_GroundNut,7678,7.655636567582726,546.0,0.11785636164783082,0.8821436383521691,0.11533695281117458,0.8846630471888254
SHIVAMOGGA,Shivamogga,248.0,10,AreaUnderOilSeeds_GroundNut,260,4.838709677419355,12.0,0.13129566168428727,0.8687043383157127,0.12948471542206197,0.870515284577938
TUMAKURU,Tumakuru,39626.0,10,AreaUnderOilSeeds_GroundNut,41438,4.572755261696866,1812.0,0.39828758918806306,0.6017124108119369,0.40142734890283327,0.5985726510971667
