District,KDG_District,Original Groundnut Production Value,Perturbation,Factor,New Groundnut Production Values,Percentage Change,Change
CHAMARAJANAGAR,Chamarajanagara,8867.0,-20,LivestockCensus_2012_Sheep,8800,-0.7556106913273938,-67.0
BELAGAVI,Belagavi,39530.0,-20,LivestockCensus_2012_Sheep,39120,-1.037186946622818,-410.0
VIJAYAPURA,Vijayapura,27528.0,-20,LivestockCensus_2012_Sheep,27324,-0.7410636442894507,-204.0
BAGALKOT,Bagalkote,25444.0,-20,LivestockCensus_2012_Sheep,24878,-2.2244930042446156,-566.0
DHARAWAD,Dharwad,21178.0,-20,LivestockCensus_2012_Sheep,21093,-0.4013599017848711,-85.0
GADAG,Gadag,31332.0,-20,LivestockCensus_2012_Sheep,30935,-1.2670751946891359,-397.0
HAVERI,Haveri,18309.0,-20,LivestockCensus_2012_Sheep,18202,-0.5844120377956197,-107.0
UTTARA KANNADA,Uttara Kannada,3825.0,-20,LivestockCensus_2012_Sheep,3823,-0.052287581699346414,-2.0
BALLARI,Ballari,22938.5,-20,LivestockCensus_2012_Sheep,22297,-2.7966083222529807,-641.5
BIDAR,Bidar,261.0,-20,LivestockCensus_2012_Sheep,258,-1.1494252873563218,-3.0
KALABURAGI,Kalaburagi,3114.0,-20,LivestockCensus_2012_Sheep,3106,-0.2569043031470777,-8.0
YADGIRI,Yadgir,31435.0,-20,LivestockCensus_2012_Sheep,30815,-1.972323842850326,-620.0
RAICHUR,Raichur,26958.0,-20,LivestockCensus_2012_Sheep,26600,-1.3279916907782476,-358.0
KOPPAL,Koppal,29982.0,-20,LivestockCensus_2012_Sheep,29618,-1.2140617703955707,-364.0
VIJAYANAGARA,Vijayanagara,22938.5,-20,LivestockCensus_2012_Sheep,22297,-2.7966083222529807,-641.5
BENGALURU,Bengaluru Urban,71.0,-20,MotorVehicles_Tractors,59,-16.901408450704224,-12.0
BENGALURU(R),Bengaluru Rural,206.0,-20,MotorVehicles_Tractors,204,-0.9708737864077669,-2.0
RAMANAGARA,Ramanagara,4830.0,-20,MotorVehicles_Tractors,4568,-5.424430641821947,-262.0
CHITRADURGA,Chitradurga,68575.0,-20,MotorVehicles_Tractors,66200,-3.4633612832664964,-2375.0
DAVANAGERE,Davanagere,16592.0,-20,MotorVehicles_Tractors,16203,-2.34450337512054,-389.0
KOLAR,Kolar,5810.0,-20,MotorVehicles_Tractors,4886,-15.903614457831324,-924.0
CHIKKABALLAPURA,Chikkaballapura,7132.0,-20,MotorVehicles_Tractors,6760,-5.215928210880538,-372.0
SHIVAMOGGA,Shivamogga,248.0,-20,MotorVehicles_Tractors,241,-2.82258064516129,-7.0
TUMAKURU,Tumakuru,39626.0,-20,MotorVehicles_Tractors,37738,-4.764548528743754,-1888.0
CHIKKAMAGALURU,Chikkamagaluru,3909.0,-20,MotorVehicles_Tractors,3706,-5.193144026605269,-203.0
DAKSHINA KANNADA,Dakshina Kannada,0.0,-20,MotorVehicles_Tractors,0,,0.0
UDUPI,Udupi,3623.0,-20,MotorVehicles_Tractors,3533,-2.4841291747170855,-90.0
HASSAN,Hassan,521.0,-20,MotorVehicles_Tractors,506,-2.8790786948176583,-15.0
KODAGU,Kodagu,45.0,-20,MotorVehicles_Tractors,42,-6.666666666666667,-3.0
MANDYA,Mandya,1021.0,-20,MotorVehicles_Tractors,996,-2.4485798237022527,-25.0
MYSURU,Mysuru,2170.0,-20,MotorVehicles_Tractors,2110,-2.7649769585253456,-60.0
CHAMARAJANAGAR,Chamarajanagara,8867.0,-20,MotorVehicles_Tractors,8754,-1.2743881808954551,-113.0
BELAGAVI,Belagavi,39530.0,-20,MotorVehicles_Tractors,38106,-3.6023273463192513,-1424.0
VIJAYAPURA,Vijayapura,27528.0,-20,MotorVehicles_Tractors,26560,-3.5164196454519034,-968.0
BAGALKOT,Bagalkote,25444.0,-20,MotorVehicles_Tractors,24344,-4.323219619556673,-1100.0
DHARAWAD,Dharwad,21178.0,-20,MotorVehicles_Tractors,20217,-4.5377278307677775,-961.0
GADAG,Gadag,31332.0,-20,MotorVehicles_Tractors,28800,-8.081194944465722,-2532.0
HAVERI,Haveri,18309.0,-20,MotorVehicles_Tractors,17921,-2.1191763613523404,-388.0
UTTARA KANNADA,Uttara Kannada,3825.0,-20,MotorVehicles_Tractors,3742,-2.1699346405228757,-83.0
BALLARI,Ballari,22938.5,-20,MotorVehicles_Tractors,21736,-5.242278265797676,-1202.5
BIDAR,Bidar,261.0,-20,MotorVehicles_Tractors,252,-3.4482758620689653,-9.0
KALABURAGI,Kalaburagi,3114.0,-20,MotorVehicles_Tractors,3037,-2.472703917790623,-77.0
YADGIRI,Yadgir,31435.0,-20,MotorVehicles_Tractors,30651,-2.494035310959122,-784.0
RAICHUR,Raichur,26958.0,-20,MotorVehicles_Tractors,26122,-3.1011202611469693,-836.0
KOPPAL,Koppal,29982.0,-20,MotorVehicles_Tractors,29340,-2.1412847708625176,-642.0
VIJAYANAGARA,Vijayanagara,22938.5,-20,MotorVehicles_Tractors,21736,-5.242278265797676,-1202.5
