District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change,Initial Stress,Initial Stability,Stress,Stability
KALABURAGI,14621,20,SowingSeedsDistributed_Maize,15786,7.967991245468846,1165,0.1055400554409895,0.8944599445590105,0.1011371478877533,0.8988628521122467
YADGIRI,2673,20,SowingSeedsDistributed_Maize,2673,0.0,0,0.13121857857210248,0.8687814214278975,0.12567593601927518,0.8743240639807248
RAICHUR,723,20,SowingSeedsDistributed_Maize,824,13.96957123098202,101,0.25992377987141646,0.7400762201285835,0.2631875745315941,0.7368124254684059
KOPPAL,190252,20,SowingSeedsDistributed_Maize,227623,19.642894687046653,37371,0.11870122518296872,0.8812987748170313,0.12162385596289335,0.8783761440371066
VIJAYANAGARA,104045,20,SowingSeedsDistributed_Maize,124235,19.405065116055553,20190,0.3053716320946721,0.6946283679053279,0.3214658306934822,0.6785341693065178
BENGALURU,2879,20,LivestockCensus_2012_Cattle,4746,64.84890587009379,1867,0.03982434326688501,0.960175656733115,0.04804510784923356,0.9519548921507665
BENGALURU(R),42583,20,LivestockCensus_2012_Cattle,60795,42.76824084728648,18212,0.008581672125402659,0.9914183278745974,0.007982725867272139,0.9920172741327279
RAMANAGARA,10450,20,LivestockCensus_2012_Cattle,16072,53.79904306220096,5622,0.07660864232474762,0.9233913576752524,0.08141461911906486,0.9185853808809351
CHITRADURGA,271975,20,LivestockCensus_2012_Cattle,332947,22.41823697030977,60972,0.14489911447171566,0.8551008855282843,0.16578860295166326,0.8342113970483367
DAVANAGERE,593544,20,LivestockCensus_2012_Cattle,655852,10.497621069373121,62308,0.6682534628154498,0.33174653718455016,0.5891049264746431,0.4108950735253569
KOLAR,1759,20,LivestockCensus_2012_Cattle,3416,94.20125071063103,1657,0.12177361745717251,0.8782263825428275,0.1506423604178195,0.8493576395821805
CHIKKABALLAPURA,105491,20,LivestockCensus_2012_Cattle,157287,49.09992321619854,51796,0.11527536290485627,0.8847246370951437,0.14888670838776663,0.8511132916122334
SHIVAMOGGA,226532,20,LivestockCensus_2012_Cattle,302707,33.62659580103473,76175,0.013504980254201882,0.9864950197457981,0.07102817600447253,0.9289718239955275
TUMAKURU,66868,20,LivestockCensus_2012_Cattle,94468,41.27534844768798,27600,0.09076231681463982,0.9092376831853601,0.0829261872298879,0.9170738127701121
CHIKKAMAGALURU,61353,20,LivestockCensus_2012_Cattle,78872,28.55443091617362,17519,0.2559670627379171,0.7440329372620829,0.2512477211363634,0.7487522788636366
DAKSHINA KANNADA,0,20,LivestockCensus_2012_Cattle,0,,0,0.17408987370776222,0.8259101262922378,0.17804857351489808,0.8219514264851019
UDUPI,109,20,LivestockCensus_2012_Cattle,149,36.69724770642202,40,0.13121899977086787,0.8687810002291321,0.15072080141022642,0.8492791985897736
HASSAN,333937,20,LivestockCensus_2012_Cattle,399142,19.526138163785383,65205,0.47762227119359874,0.5223777288064013,0.47858632217284397,0.5214136778271561
KODAGU,17921,20,LivestockCensus_2012_Cattle,21202,18.308130126667038,3281,0.23437071781255195,0.7656292821874481,0.23735103342441996,0.76264896657558
MANDYA,19387,20,LivestockCensus_2012_Cattle,23175,19.538866250580288,3788,0.2019597536155702,0.7980402463844298,0.21111694268387995,0.7888830573161201
MYSURU,137154,20,LivestockCensus_2012_Cattle,163730,19.376758971666884,26576,0.012419045597293538,0.9875809544027064,0.010268639005995756,0.9897313609940043
CHAMARAJANAGAR,147886,20,LivestockCensus_2012_Cattle,182601,23.47416253059789,34715,0.15537573176265507,0.8446242682373449,0.1639302645315504,0.8360697354684496
BELAGAVI,576758,20,LivestockCensus_2012_Cattle,701164,21.569878527909452,124406,0.7253265132829243,0.2746734867170757,0.7435798187014735,0.2564201812985265
VIJAYAPURA,226327,20,LivestockCensus_2012_Cattle,264357,16.803121147719892,38030,0.09608756890811804,0.903912431091882,0.08107518355192223,0.9189248164480778
BAGALKOT,251699,20,LivestockCensus_2012_Cattle,310816,23.487181117127996,59117,0.04244302023101909,0.9575569797689809,0.05526210701062806,0.9447378929893719
DHARAWAD,90634,20,LivestockCensus_2012_Cattle,116778,28.845687049010305,26144,0.33286201191487064,0.6671379880851294,0.3312267172872537,0.6687732827127463
GADAG,138476,20,LivestockCensus_2012_Cattle,165275,19.352812039631416,26799,0.18330281447421884,0.8166971855257812,0.19206857657919035,0.8079314234208097
HAVERI,413487,20,LivestockCensus_2012_Cattle,487913,17.9995985363506,74426,0.38823575000336963,0.6117642499966304,0.3827765584900863,0.6172234415099137
UTTARA KANNADA,24088,20,LivestockCensus_2012_Cattle,41737,73.26884755895051,17649,0.3999973043279016,0.6000026956720984,0.39934337758356103,0.6006566224164389
BALLARI,104045,20,LivestockCensus_2012_Cattle,127159,22.215387572684897,23114,0.23687905674582324,0.7631209432541768,0.225864827221999,0.774135172778001
BIDAR,2791,20,LivestockCensus_2012_Cattle,5129,83.76925833034754,2338,0.019931125577884706,0.9800688744221153,0.02228437284287271,0.9777156271571273
KALABURAGI,14621,20,LivestockCensus_2012_Cattle,20754,41.946515286232135,6133,0.1055400554409895,0.8944599445590105,0.10037214308397656,0.8996278569160234
YADGIRI,2673,20,LivestockCensus_2012_Cattle,3908,46.20276842499065,1235,0.13121857857210248,0.8687814214278975,0.1303998303772964,0.8696001696227036
RAICHUR,723,20,LivestockCensus_2012_Cattle,908,25.587828492392806,185,0.25992377987141646,0.7400762201285835,0.26536930019225174,0.7346306998077483
KOPPAL,190252,20,LivestockCensus_2012_Cattle,228637,20.175872001345585,38385,0.11870122518296872,0.8812987748170313,0.11748121694781818,0.8825187830521818
VIJAYANAGARA,104045,20,LivestockCensus_2012_Cattle,127159,22.215387572684897,23114,0.3053716320946721,0.6946283679053279,0.2935188248873778,0.7064811751126222
BENGALURU,2879,20,AreaUnderCereals_Maize,3625,25.911774921847865,746,0.03982434326688501,0.960175656733115,0.04019131662548535,0.9598086833745146
BENGALURU(R),42583,20,AreaUnderCereals_Maize,52417,23.093722847145575,9834,0.008581672125402659,0.9914183278745974,0.004762160254147552,0.9952378397458524
RAMANAGARA,10450,20,AreaUnderCereals_Maize,11764,12.574162679425838,1314,0.07660864232474762,0.9233913576752524,0.07992460289445819,0.9200753971055418
CHITRADURGA,271975,20,AreaUnderCereals_Maize,332962,22.423752183105066,60987,0.14489911447171566,0.8551008855282843,0.14963332156724318,0.8503666784327568
DAVANAGERE,593544,20,AreaUnderCereals_Maize,708250,19.325610232771286,114706,0.6682534628154498,0.33174653718455016,0.6610412989763501,0.3389587010236499
KOLAR,1759,20,AreaUnderCereals_Maize,2182,24.04775440591245,423,0.12177361745717251,0.8782263825428275,0.13612566184256972,0.8638743381574303
CHIKKABALLAPURA,105491,20,AreaUnderCereals_Maize,144769,37.23350807177864,39278,0.11527536290485627,0.8847246370951437,0.13969972937992706,0.860300270620073
SHIVAMOGGA,226532,20,AreaUnderCereals_Maize,255524,12.798191866932706,28992,0.013504980254201882,0.9864950197457981,0.013567243205082957,0.986432756794917
TUMAKURU,66868,20,AreaUnderCereals_Maize,82881,23.947179517856075,16013,0.09076231681463982,0.9092376831853601,0.09409328828601689,0.9059067117139831
CHIKKAMAGALURU,61353,20,AreaUnderCereals_Maize,82546,34.542728146952875,21193,0.2559670627379171,0.7440329372620829,0.24218849276385462,0.7578115072361453
DAKSHINA KANNADA,0,20,AreaUnderCereals_Maize,0,,0,0.17408987370776222,0.8259101262922378,0.17727144369925874,0.8227285563007413
UDUPI,109,20,AreaUnderCereals_Maize,115,5.5045871559633035,6,0.13121899977086787,0.8687810002291321,0.12856865513589835,0.8714313448641017
HASSAN,333937,20,AreaUnderCereals_Maize,398800,19.42372363649431,64863,0.47762227119359874,0.5223777288064013,0.47428662195552423,0.5257133780444758
KODAGU,17921,20,AreaUnderCereals_Maize,20749,15.780369399029073,2828,0.23437071781255195,0.7656292821874481,0.23734368749264623,0.7626563125073538
MANDYA,19387,20,AreaUnderCereals_Maize,23400,20.699437767576214,4013,0.2019597536155702,0.7980402463844298,0.20436794917049064,0.7956320508295094
MYSURU,137154,20,AreaUnderCereals_Maize,167743,22.302667074966827,30589,0.012419045597293538,0.9875809544027064,0.017117190257677356,0.9828828097423227
CHAMARAJANAGAR,147886,20,AreaUnderCereals_Maize,179530,21.39756298770675,31644,0.15537573176265507,0.8446242682373449,0.15798705730085894,0.8420129426991411
BELAGAVI,576758,20,AreaUnderCereals_Maize,649481,12.608927834551059,72723,0.7253265132829243,0.2746734867170757,0.6864008471584893,0.31359915284151074
VIJAYAPURA,226327,20,AreaUnderCereals_Maize,248619,9.84946559623907,22292,0.09608756890811804,0.903912431091882,0.08359647017296151,0.9164035298270385
BAGALKOT,251699,20,AreaUnderCereals_Maize,276261,9.758481360672867,24562,0.04244302023101909,0.9575569797689809,0.030423155665372403,0.9695768443346275
DHARAWAD,90634,20,AreaUnderCereals_Maize,107766,18.902398658340136,17132,0.33286201191487064,0.6671379880851294,0.3214218143310978,0.6785781856689022
GADAG,138476,20,AreaUnderCereals_Maize,157417,13.67818250093879,18941,0.18330281447421884,0.8166971855257812,0.1849439766022893,0.8150560233977107
HAVERI,413487,20,AreaUnderCereals_Maize,508129,22.888748618457168,94642,0.38823575000336963,0.6117642499966304,0.41149251172406837,0.5885074882759316
UTTARA KANNADA,24088,20,AreaUnderCereals_Maize,26625,10.53221521089339,2537,0.3999973043279016,0.6000026956720984,0.3919209318743382,0.6080790681256618
BALLARI,104045,20,AreaUnderCereals_Maize,130622,25.54375510596377,26577,0.23687905674582324,0.7631209432541768,0.23016045585194897,0.769839544148051
BIDAR,2791,20,AreaUnderCereals_Maize,3527,26.370476531709063,736,0.019931125577884706,0.9800688744221153,0.017644899399929404,0.9823551006000706
KALABURAGI,14621,20,AreaUnderCereals_Maize,16024,9.595786881882225,1403,0.1055400554409895,0.8944599445590105,0.09754512295564183,0.9024548770443581
YADGIRI,2673,20,AreaUnderCereals_Maize,3185,19.15450804339693,512,0.13121857857210248,0.8687814214278975,0.1210476526650194,0.8789523473349806
RAICHUR,723,20,AreaUnderCereals_Maize,2108,191.56293222683266,1385,0.25992377987141646,0.7400762201285835,0.24400734204024002,0.75599265795976
KOPPAL,190252,20,AreaUnderCereals_Maize,215944,13.504194436852174,25692,0.11870122518296872,0.8812987748170313,0.10806636074832335,0.8919336392516767
VIJAYANAGARA,104045,20,AreaUnderCereals_Maize,130622,25.54375510596377,26577,0.3053716320946721,0.6946283679053279,0.2987626779621132,0.7012373220378868
BENGALURU,2879,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,3372,17.12400138937131,493,0.03982434326688501,0.960175656733115,0.04298638457969953,0.9570136154203005
BENGALURU(R),42583,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,51565,21.092924406453278,8982,0.008581672125402659,0.9914183278745974,0.000855148682671697,0.9991448513173283
RAMANAGARA,10450,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,12444,19.08133971291866,1994,0.07660864232474762,0.9233913576752524,0.08891444459624401,0.911085555403756
CHITRADURGA,271975,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,350940,29.033918558691056,78965,0.14489911447171566,0.8551008855282843,0.20390371770485055,0.7960962822951494
DAVANAGERE,593544,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,650336,9.568288113433882,56792,0.6682534628154498,0.33174653718455016,0.6292921953170001,0.3707078046829999
KOLAR,1759,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,2322,32.00682205798749,563,0.12177361745717251,0.8782263825428275,0.1451162993200547,0.8548837006799452
CHIKKABALLAPURA,105491,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,146398,38.7777156345091,40907,0.11527536290485627,0.8847246370951437,0.14471169508905046,0.8552883049109495
SHIVAMOGGA,226532,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,243273,7.39012589832783,16741,0.013504980254201882,0.9864950197457981,0.0019126745465655182,0.9980873254534345
TUMAKURU,66868,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,96137,43.771310641861575,29269,0.09076231681463982,0.9092376831853601,0.07077989637070112,0.9292201036292989
CHIKKAMAGALURU,61353,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,70417,14.77352370707219,9064,0.2559670627379171,0.7440329372620829,0.25706727668645324,0.7429327233135468
DAKSHINA KANNADA,0,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,0,,0,0.17408987370776222,0.8259101262922378,0.1648420692316123,0.8351579307683877
UDUPI,109,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,109,0.0,0,0.13121899977086787,0.8687810002291321,0.1271207942553706,0.8728792057446294
HASSAN,333937,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,350721,5.026097736998296,16784,0.47762227119359874,0.5223777288064013,0.43932888243657325,0.5606711175634267
KODAGU,17921,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,17947,0.14508118966575526,26,0.23437071781255195,0.7656292821874481,0.22041147024219704,0.7795885297578029
MANDYA,19387,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,20491,5.694537576726672,1104,0.2019597536155702,0.7980402463844298,0.20633494624543788,0.7936650537545621
MYSURU,137154,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,143557,4.668474853084854,6403,0.012419045597293538,0.9875809544027064,0.000641061249123609,0.9993589387508763
CHAMARAJANAGAR,147886,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,186777,26.297959238873187,38891,0.15537573176265507,0.8446242682373449,0.19208767275749916,0.8079123272425008
BELAGAVI,576758,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,666083,15.487431470391394,89325,0.7253265132829243,0.2746734867170757,0.7319550266258108,0.2680449733741892
VIJAYAPURA,226327,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,278310,22.96809483623253,51983,0.09608756890811804,0.903912431091882,0.11355101391268047,0.8864489860873195
BAGALKOT,251699,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,327440,30.091895478329274,75741,0.04244302023101909,0.9575569797689809,0.0927761254978734,0.9072238745021266
DHARAWAD,90634,20,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea,99190,9.440165942140919,8556,0.33286201191487064,0.6671379880851294,0.34559469315385627,0.6544053068461437
